name,team,battingStyle,bowlingStyle,playingRole,description
Brandon King,West Indies,Right hand Bat,Bat,Top order Batter,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
Travis Head,Australia,Left hand Bat,Right arm Offbreak,Top order Batter,
Kamindu Mendis,Sri Lanka,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Allrounder,"Though foremost a batsman who scores heavily square of the wicket, it is for his unique skill set with the ball that Kamindu Mendis had gained an international reputation long before he entered a national squad. He bowls finger spin with both arms, and does it with skill and accuracy - his offbreaks not quite as good as his left-arm orthodox, but not far off. Understandably, his potential has impressed coaches. In the age of T20, a bowler who can spin it away from both right and left-handers, not to mention employ different lines of attack to the same batsman, could potentially have team owners and data analysts drooling, so long as Kamindu continues to develop those skills. "
Wanindu Hasaranga(c),Sri Lanka,Right hand Bat,Legbreak,Allrounder,
Angelo Mathews,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"A robust batting technique, nagging consistency with the ball, athleticism in the field, and an imperturbable temperament made Angelo Mathews one of Sri Lanka's most prized assets, although persistent injuries and several standoffs with the Sri Lankan board prevented him from achieving his full potential."
Nuwan Thushara,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,
Dhananjaya de Silva,Sri Lanka,Right hand Bat,Right arm Offbreak,Allrounder,"A stylish middle-order batter who also props up Sri Lanka's mediocre batting line-up with fighting knocks, de Silva is a treat to watch. "
Dipendra Singh Airee,Nepal,Right hand Bat,"Right arm Medium, Right arm Offbreak",Middle order Batter,"Dipendra Singh Airee burst into the limelight after breaking the record for the fastest fifty in T20I cricket: nine balls against Mongolia in September 2023, and within seven months became only the third man to hit six sixes in an over in a T20I."
Kushal Bhurtel,Nepal,Right hand Bat,Legbreak Googly,Opening Batter,"An opening batter who packs a punch, a more-than-useful legspinner and a gun fielder, Kushal Bhurtel is one of Nepal's rising stars in the post-Paras Khadka-era. "
Sandeep Lamichhane,Nepal,Right hand Bat,Legbreak Googly,Bowler,"Discovered as a 14-year-old by then Nepal coach Pubudu Dassanayake during a pit stop in the remote Chitwan Province on the way from Kathmandu to left-arm spinner Basant Regmi's wedding, Sandeep Lamichhane has continued to make the most of good fortune at every opportunity to come his way."
Matheesha Pathirana,Sri Lanka,Right hand Bat,Right arm Fast,Bowler,
Kusal Mendis,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. "
Ottneil Baartman,South Africa,Right hand Bat,Right arm Medium fast,Bowler,
Charith Asalanka,Sri Lanka,Left hand Bat,Right arm Offbreak,Batting Allrounder,
Pathum Nissanka,Sri Lanka,Right hand Bat,Bat,Top order Batter,
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,
Jofra Archer,England,Right hand Bat,Right arm Fast,Bowler,
Jack Brassell,Namibia,Right hand Bat,Right arm Medium,Bowler,
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way."
Rachin Ravindra,New Zealand,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"A dynamic batter, who can slot in at the top as well as in the middle order, and bowl left-arm fingerspin, Rachin Ravindra was earmarked to become a future batting leader for New Zealand right from his Under-19 days."
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan."
Sam Curran,England,Left hand Bat,Left arm Medium fast,Allrounder,
Harry Brook,England,Right hand Bat,Right arm Medium,Batter,
Sompal Kami,Nepal,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is ""to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008"
Reece Topley,England,Right hand Bat,Left arm Fast medium,Bowler,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again."
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder,
Jaker Ali,Bangladesh,Right hand Bat,Bat,Wicketkeeper Batter,Attacking batter Jaker Ali was among a group of players who made six-hitting a regular feature of Bangladesh's white-ball sides in the 2020s.
Brian Masaba,Uganda,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",Bowler,
Norman Vanua,P.N.G.,Right hand Bat,Right arm Medium,Bowler,
Gulsan Jha,Nepal,Left hand Bat,Right arm Medium,Allrounder,
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier."
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,
Scott Edwards(c),Netherlands,Right hand Bat,Bat,Wicketkeeper Batter,"Born in Tonga and raised in Australia, Scott Edwards made his Netherlands debut in 2017 and decided to abandon his electrical apprenticeship and commit to Dutch cricket. Five years later, he was established in the side as an innovative middle-order batter and wicketkeeper, and took over the captaincy when Pieter Seelaar retired."
Reeza Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"Reeza Hendricks has fashioned a reputation as a destructive T20 opener, with crisp shot-making, particularly through the covers, and one adept at pacing a knock and scoring quickly at either end of an innings. "
Kushal Malla,Nepal,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"Kushal Malla is a big-hitting middle-order batter and a slow left-arm spinner who represents Nepal's new-age fearless brand of cricket. He was only 15 when he made his T20I debut and a few days later, he became the youngest male cricketer to score an ODI half-century (15 years and 340 days). Malla also briefly held the record for the fastest hundred in T20I history, off 34 balls against Mongolia, in 2023."
Michael van Lingen,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Opening Batter,
Finn Allen,New Zealand,Right hand Bat,Bat,Top order Batter,
Kane Williamson(c),New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. "
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Allrounder,"Glenn Phillips is a compact, muscular hitter, known for playing outrageous shots, like the reverse pull. Born in South Africa, Phillips moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He is a multi-dimensional player, who bats, bowls fastish offspin, fields superbly inside the ring and in the outfield, and keeps part-time as well."
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"Bangladesh allrounder Mahedi Hasan - not to be confused with his team-mate Mehidy Hasan Miraz - is an accurate offspinner, gun fielder, and a capable batter at various slots in the order, whom Bangladesh's coach in the early 2020s, Russell Domingo, once described as a ""three-in-one cricketer""."
Semo Kamea,P.N.G.,Left hand Bat,Left arm Fast,Bowler,
Haris Rauf,Pakistan,Right hand Bat,Right arm Fast,Bowler,
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler,"A left-arm wristspin bowler with ample variations and a good googly, Tabraiz Shamsi emerged as South Africa were starting to warm to the wave of spinners being produced at domestic levels, although it took a while for him to come through. "
Usman Khan,Pakistan,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"In 2023, making what seemed to be his nth comeback to the Pakistan ODI side, offspinner allrounder Iftikhar Ahmed burst into flower with an unbeaten 94 from No. 6 against New Zealand in the fifth ODI (after Pakistan had sealed the series) - though the target of 300 proved a bridge too far for him and his side. "
Mohammad Rizwan,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often."
Babar Azam(c),Pakistan,Right hand Bat,Right arm Offbreak,Batter,"A right-hand top-order batter known as much for his elegant cover drive as his ability to single-handedly carry the batting, Babar Azam was, for much of the late 2010s and early 2020s, the face of Pakistan cricket. He made his case for a permanent spot in Pakistan's white-ball sides with a hat-trick of ODI hundreds against West Indies in 2016. He was 21, fresh off a strong showing in age-group cricket and a recent international debut in a home series against Zimbabwe that kicked off with a fifty. A Test call-up followed soon after, and by the time Younis Khan and Misbah-ul-Haq bowed out, Babar had begun staking his claim as Pakistan's next great batter."
Andries Gous,U.S.A.,Right hand Bat,Bat,Wicketkeeper Batter,
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Azam Khan,Pakistan,Right hand Bat,Bat,Wicketkeeper Batter,"The son of former Pakistan captain and wicketkeeper Moin Khan, Azam Khan made his name as a power-hitting wicketkeeper-batter in T20 leagues around the world. Modelling himself after his idol Chris Gayle, Azam's brute strength and aggressive strokeplay have made him a fixture in franchise cricket, despite concerns over his fitness and criticism of his weight that have dogged him since his debut."
Charles Amini,P.N.G.,Left hand Bat,Legbreak,Allrounder,"CJ Amini comes from a long line of Papua New Guinea cricketing royalty. The third generation of his family to represent the country in cricket, CJ's grandfather Brian and father Charles were both national captains, as was his mother, Kune, for the women's side. His older brother Chris also captained the men's side, while his aunt Cheryl and other brother Colin played for representative PNG sides, leaving little doubt about CJ's future career path."
Shaheen Shah Afridi,Pakistan,Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother."
Aaron Jones,U.S.A.,Right hand Bat,Legbreak Googly,Top order Batter,"Aaron Jones grew up playing alongside Shai Hope and Jason Holder and against Nicholas Pooran and Rovman Powell. He made his List-A debut for Barbados in January 2016 before representing them in first-class cricket the following year. By 2018, though, he had switched to playing for USA. Jones, who was born in Queens in New York, quickly became a mainstay in the USA team. His maiden List-A century against Namibia in the WCL Division 2 in 2019 helped USA earn the side ODI status during that competition."
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman had been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on raw power for his runs, which he's made plenty of. But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final."
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes."
Monank Patel(c),U.S.A.,Right hand Bat,Bat,Wicketkeeper Batter,
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,"Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this department that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap."
Sundeep Jora,Nepal,Right hand Bat,Bat,Middle order Batter,
Mark Wood,England,Right hand Bat,Right arm Fast,Bowler,"England quick bowler Mark Wood, tremendously fast but frequently injured, has in his brief career been something of a cautionary tale like many other out and out fast men in modern times.
Unlike some of his other similarly ill-starred counterparts, Wood, despite multiple setbacks, particularly injuries to his ankle, did not compromise his speeds for a longer career. Instead, he 
abandoned the short run-up that had marked his career until about mid-2018 for a longer one that would put less pressure on his body and still allow him to crank out top speeds."
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,
Matthew Wade,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"It has been a career of reinvention for Matthew Wade, who went from Test wicketkeeper to specialist middle-order batter to T20I World Cup-winning wicketkeeper-finisher, via a prolific run in domestic cricket when it appeared his international days were over."
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase."
Will Jacks,England,Right hand Bat,Right arm Offbreak,Batting Allrounder,
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. "
Jasdeep Singh,U.S.A.,Right hand Bat,Right arm Medium,Bowler,"His exuberant celebrations make Jessy Singh hard to miss on the field for USA. Born in New York, Jessy's family moved back to Punjab when he was 3 before he returned to New Jersey at age 13. Jessy was one of the last players cut at trials for the 2011 U-19 World Cup qualifier squad that toured Ireland, but used that as motivation for developing into a medium-pace talent at the senior level. "
Rohit Paudel,Nepal,Right hand Bat,Right arm Offbreak,Batting Allrounder,"A solid top-order batter and leader, Rohit Paudel has been the face of Nepal cricket at a time of unprecedented success in the post-Covid era. Paudel was just shy of 16 when he made his ODI debut, and in his third game became the then youngest batter to record an ODI fifty. He was also just 20 years and 73 days of age when he was named captain of the ODI side, the second youngest in the history of the format."
Mohammed Siraj,India,Right hand Bat,Right arm Fast,Bowler,"Mohammed Siraj's rise as a seamer was remarkably swift. The son of an autorickshaw driver in Hyderabad, he only began playing the game in class seven. It was in 2015 that he first bowled with a cricket ball. In 2017, he bagged an IPL contract worth INR 2.6 crore. Months later, he was wearing an India shirt and bowling in a T20 international against New Zealand. "
Paul Stirling(c),Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Paul Stirling has long been recognised as a formidable talent both in Ireland and beyond. With a natural swagger and belligerence allied to a portly build, he generates huge power with seemingly little effort, and is particularly strong lashing the ball straight or pulling it over midwicket."
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter,Born into a cricketing family - his brothers Jack and Tim also captained Ireland at U19 World Cups - Harry Tector has quietly amassed an impressive record in the senior side since cementing a spot in the post-Covid era. 
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder,"Mark Adair is a tall, seam-bowling allrounder from Northern Ireland who made his first-class debut for Warwickshire while still a teenager at the end of the 2015 season. From a sporting family - his father was a goalkeeper at a decent level and his brother plays rugby and represented Ireland at cricket at age-group level - Adair also showed promise in rugby but committed to cricket having been offered a trial by Warwickshire in 2013. He has represented Ireland at age-group and A team level and claimed the wicket of Marcus Trescothick as his maiden victim in first-class cricket. He was released by Warwickshire at the end of the 2017 season and has since played for Northern Knights and Durham's second team.

George Dobell"
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,"Left-arm spinner George Dockrell made his international debut for Ireland as a 17-year-old in 2010 though he had been bowling spin for only four years at that point, after coach Brian O'Rourke spotted him having a bowl in a car park during an Ireland age-group tour of Wales. "
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"Born in Johannesburg, raised in South Africa and a player for the national Under-19 side, Curtis Campher decided to leave his homeland behind and put his Irish passport to good use in early 2020, declaring his intentions to move to Ireland and play for the national team. He went on the Ireland Wolves' tour to Namibia early that year, and impressed sufficiently to win a place in the squad for a three-match ODI series in England in July."
Ben White,Ireland,Right hand Bat,Legbreak,Bowler,"Ben White was handed his T20I debut during Ireland's 2021 home summer and was picked in their squad for the T20 World Cup later that year. A tall legspinner who bowls quickly and fires the ball in flat, White was viewed as a potential long-term option to fill Ireland's wristspin void.ESPNcricinfo staff"
Jeremy Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler,
Dilon Heyliger,Canada,Right hand Bat,Right arm Medium,Bowler,
Teja Nidamanuru,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder,
Aaron Johnson,Canada,Right hand Bat,Right arm Offbreak,Batter,"Originally from Jamaica, Aaron Johnson made his T20I debut for Canada in 2022 and soon established himself as a destructive opening batter. He showed his intent with a first-ball four against USA to kickstart the 2024 T20 World Cup.He is the first Canada batter to hit multiple T20I centuries. His first century was in his first T20I tournament in Al Amerat where he smacked an unbeaten 109 against Oman in November 2022. Then in October 2023, he clubbed an unbeaten 121 against Panama. He had five fifties and two hundreds after his first 16 T20Is.Sreshth Shah"
Saim Ayub,Pakistan,Left hand Bat,Right arm Offbreak,Top order Batter,"Saim Ayub made his PSL debut in 2021 as a waifish 18-year-old, playing a few stodgy innings as an opener for Quetta Gladiators. There were no signs at the time of the potentially destructive power-hitter he would evolve into."
Navneet Dhaliwal,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter,"Nearly ten years after making his List-A debut for Canada, Navneet Dhaliwal earned the honour of becoming his team's first half-centurion at the T20 World Cup in 2024. He scored 44-ball 61 in the tournament opener against USA but it was not enough to win the game. He has also led Canada in T20I cricket."
Imad Wasim,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Junaid Siddiqui,Canada,Right hand Bat,Legbreak,Allrounder,
Nicholas Kirton,Canada,Left hand Bat,Bat,Batting Allrounder,
Ravinderpal Singh,Canada,Right hand Bat,Right arm Offbreak,Batter,
Andy Balbirnie,Ireland,Right hand Bat,Right arm Offbreak,Batter,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
Kaleem Sana,Canada,Right hand Bat,Left arm Medium fast,Bowler,"Like a fair number of team-mates in the Under-19 World Cup in New Zealand, Kaleem Sana has had first-class experience. He made his debut for Pakistan Customs in 2009 and has played two games, grabbing three wickets."
Saad Bin Zafar(c),Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,"The Pakistan-born Saad Bin Zafar earned the honour of being Canada's first captain at the T20 World Cup in 2024. That was a culmination of a long career with Canada that started with a first-class debut in 2008 before representing the team consistently in all formats.As a slow left-arm spinner and left-hand batter, Saad has also been part of the Caribbean Premier League, representing St Lucia Zouks. In November 2021, he entered the record books as the first man to concede no run in a four-over spell in a T20I when he finished with figures of 4-4-0-2 against Panama.Sreshth Shah"
Mohammad Amir,Pakistan,Left hand Bat,Left arm Fast medium,Bowler,"Mohammad Amir, a left-arm pace bowler, reveres Wasim Akram. Over 2007 and 2008, he also emerged, still improbably young, as a hot pace prospect. Even before he went to England on an U-19 tour, he had been picked out as a special talent by Akram himself at a pace camp he oversaw in Lahore in May 2007. By 2010, he had become the hottest pace bowling prospect around the world - but within months his career was in ruins following charges of spot-fixing. "
Mohammad Rizwan,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often."
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,"The Pakistan-born Saad Bin Zafar earned the honour of being Canada's first captain at the T20 World Cup in 2024. That was a culmination of a long career with Canada that started with a first-class debut in 2008 before representing the team consistently in all formats.As a slow left-arm spinner and left-hand batter, Saad has also been part of the Caribbean Premier League, representing St Lucia Zouks. In November 2021, he entered the record books as the first man to concede no run in a four-over spell in a T20I when he finished with figures of 4-4-0-2 against Panama.Sreshth Shah"
Shreyas Movva,Canada,Right hand Bat,Bat,Wicketkeeper Batter,
Aqib Ilyas(c),Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Bilal Khan,Oman,Left hand Bat,Left arm Medium fast,Bowler,"After a brief first-class career with Peshawar in Pakistan's domestic cricket in the late 2000s, left-arm swing bowler Bilal Khan turned into the leader of Oman's bowling attack and one of the most successful pace bowlers on the Associate scene in the late 2010s. As of 2022, his ODI bowling average was bettered only by Joel Garner, Rashid Khan and Sandeep Lamichhane among bowlers with at least 50 ODI wickets."
Lorcan Tucker,Ireland,Right hand Bat,Bat,Wicketkeeper Batter,
Aqib Ilyas,Oman,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Mehran Khan,Oman,Right hand Bat,Right arm Medium fast,Batter,
Nathan Ellis,Australia,Right hand Bat,Right arm Fast medium,Bowler,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively brief period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace."
Shoaib Khan,Oman,Right hand Bat,Right arm Medium,Batter,
Kaleemullah,Oman,Right hand Bat,Right arm Medium,Bowler,"It's hard to miss Kaleemullah, who stands over two metres tall, on a cricket field. But his bowling efficiency has shifted the conversation away from his towering physical stature and more towards his lofty statistics. "
Pargat Singh,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Zeeshan Maqsood,Oman,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Ayaan Khan,Oman,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Shakeel Ahmed,Oman,Left hand Bat,Slow Left arm Orthodox,Bowler,
Pratik Athavale,Oman,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Kashyap Prajapati,Oman,Right hand Bat,Right arm Offbreak,Top order Batter,
Khalid Kail,Oman,Right hand Bat,Bat,Middle order Batter,
Richie Berrington(c),Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"Richie Berrington powered Scotland to their long-awaited first victory over an ICC Full Member when his century, which was made in only 56 balls and included five sixes, set-up victory over Bangladesh in a T20 international in July 2012"
Matthew Cross,Scotland,Right hand Bat,Bat,Wicketkeeper Batter,"A wicketkeeper-batter from Aberdeen, Matthew Cross got into the Scotland set-up at U-13 level, progressed up the ranks, making a good impression as vice-captain for the U-19s in the 2012 World Cup in Australia, and then broke into the senior side the following year."
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter,"Known as the reverse-sweeping demon of the Associate world, George Munsey's path to the Scotland national team is as unorthodox as his trademark shot. Born and raised in Oxford, Munsey had dreams of becoming a professional golfer and it was a golf scholarship to the Loretto School, just outside Edinburgh, that brought him to Scotland at age 13. "
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,"Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland's win over Tasmania in their World Cup acclimatisation tour in autumn 2014.
Leask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset's director of cricket Matt Maynard describing him as a ""feisty cricketer"". A scattering of T20 matches were his only outings in his debut season.

ESPNcricinfo staff"
Brandon McMullen,Scotland,Right hand Bat,Right arm Medium,Batting Allrounder,
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"Born in Huddersfield, Safyaan Sharif made his debut for Scotland at 20 after eye-catching performances for Dunfermline and Scotland U-19s, and took 4 for 27 against the Netherlands in his first ODI in 2011. With 14 wickets at 23.92 apiece, his fast-medium bowling played an important part in Scotland's success in the World Cup Qualifiers in New Zealand in 2014. "
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter,"The summer of 2022 saw opener Michael Jones finally convert promise into solid first-team returns. He began his fifth season as a Durham cricketer with a maiden first-class hundred at Grace Road, in the second round of the Championship, and followed that up a few months later by batting for more than eight hours to amass 206 from 381 balls against Middlesex at Chester-le-Street."
Chris Sole,Scotland,Right hand Bat,Right arm Fast medium,Bowler,
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"Ashton Agar initially turned almost as many heads as he has turned cricket balls. At the age of 19 he had a place in the squads of Western Australia, Perth Scorchers, and the national team, having sensationally been upgraded from an internship on the 2013 tour of India to a more expansive role in Michael Clarke's squad. "
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,"Scotland left-arm spinner Mark Watt made a quiet international debut in 2015 but drew attention to himself more firmly two years on when he took five wickets against Netherlands in a T20I in Dubai, despatching them from 82 for 4 to nine down for less than 100. Later that year, he took three in a famous win against England in an ODI, Scotland's first. Watt won opportunities with Lancashire that summer, although he only took one wicket in four matches."
Malan Kruger,Namibia,Right hand Bat,Bat,Batter,
Zane Green,Namibia,Left hand Bat,Bat,Wicketkeeper Batter,
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler,
Naseem Khushi,Oman,Right hand Bat,Bat,Wicketkeeper,
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler,
